timestamp,log_text,log_level
2024-12-13 10:15:21.848662,Pod nginx-pod started successfully in namespace default.,INFO
2024-12-17 10:40:26.848664,Backup job completed successfully.,INFO
2024-12-14 10:27:40.848667,DiskPressure condition detected on node node-1.,WARNING
2024-12-11 00:42:19.848670,Replica count for deployment deployment-9 dropped below threshold.,WARNING
2024-12-14 19:26:23.848672,Backup job completed successfully.,INFO
2024-12-15 00:06:08.848675,Replica count for deployment deployment-8 dropped below threshold.,WARNING
2024-12-15 18:43:18.848678,Deployment deployment-1 failed to roll out successfully.,ERROR
2024-12-16 01:32:02.848681,High memory usage detected in pod api-server.,WARNING
2024-12-16 12:35:31.848684,Node node-4 is ready for scheduling.,INFO
2024-12-16 09:19:41.848687,Failed to mount volume for pod db-pod.,ERROR
2024-12-11 10:35:19.848690,Slow response time observed for pod db-pod.,WARNING
2024-12-12 08:55:19.848693,High memory usage detected in pod api-server.,WARNING
2024-12-15 06:06:49.848696,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-16 21:13:37.848698,Backup job completed successfully.,INFO
2024-12-15 01:27:17.848701,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-17 14:20:56.848704,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-16 09:17:48.848707,DiskPressure condition detected on node node-3.,WARNING
2024-12-17 03:40:04.848710,Node node-4 is ready for scheduling.,INFO
2024-12-11 03:50:15.848713,Pod redis-pod started successfully in namespace production.,INFO
2024-12-12 08:37:55.848716,Pod frontend-pod started successfully in namespace default.,INFO
2024-12-17 00:40:33.848718,Backup job completed successfully.,INFO
2024-12-12 14:56:25.848720,Pod db-pod started successfully in namespace production.,INFO
2024-12-16 15:46:50.848723,Deployment deployment-9 scaled to kube-system replicas.,INFO
2024-12-16 03:00:46.848726,Deployment deployment-7 scaled to production replicas.,INFO
2024-12-11 21:37:53.848729,Slow response time observed for pod api-server.,WARNING
2024-12-17 14:00:32.848732,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-11 21:34:59.848735,DiskPressure condition detected on node node-3.,WARNING
2024-12-11 14:37:21.848738,DiskPressure condition detected on node node-1.,WARNING
2024-12-10 20:06:39.848741,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-17 05:01:03.848744,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-10 19:16:05.848747,DiskPressure condition detected on node node-5.,WARNING
2024-12-13 13:37:09.848750,DiskPressure condition detected on node node-3.,WARNING
2024-12-13 21:53:33.848753,Deployment deployment-5 failed to roll out successfully.,ERROR
2024-12-15 18:17:06.848756,Node node-1 is ready for scheduling.,INFO
2024-12-11 07:53:34.848758,Backup job completed successfully.,INFO
2024-12-16 04:01:31.848761,Failed to mount volume for pod redis-pod.,ERROR
2024-12-14 10:48:01.848764,Deployment deployment-4 scaled to production replicas.,INFO
2024-12-17 04:12:56.848767,Failed to mount volume for pod redis-pod.,ERROR
2024-12-11 00:35:44.848770,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 21:53:55.848773,Node node-3 is ready for scheduling.,INFO
2024-12-16 16:13:41.848776,Node node-2 is ready for scheduling.,INFO
2024-12-11 06:29:41.848779,Failed to mount volume for pod api-server.,ERROR
2024-12-12 09:44:02.848781,Backup job completed successfully.,INFO
2024-12-12 09:07:59.848784,Node node-5 is NotReady for scheduling pods.,ERROR
2024-12-16 14:39:31.848787,Node node-3 is ready for scheduling.,INFO
2024-12-17 10:22:01.848789,Pod frontend-pod started successfully in namespace monitoring.,INFO
2024-12-13 13:08:58.848792,Replica count for deployment deployment-9 dropped below threshold.,WARNING
2024-12-15 23:05:44.848796,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-14 08:12:08.848798,Backup job completed successfully.,INFO
2024-12-11 01:11:59.848800,Failed to mount volume for pod redis-pod.,ERROR
2024-12-16 14:47:17.848803,Deployment deployment-5 scaled to kube-system replicas.,INFO
2024-12-12 02:35:08.848806,Deployment deployment-3 scaled to kube-system replicas.,INFO
2024-12-12 11:09:24.848809,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 13:16:14.848811,Backup job completed successfully.,INFO
2024-12-11 20:24:51.848814,Node node-3 is NotReady for scheduling pods.,ERROR
2024-12-12 03:59:09.848817,DiskPressure condition detected on node node-4.,WARNING
2024-12-17 13:34:35.848820,Pod db-pod started successfully in namespace default.,INFO
2024-12-12 04:06:56.848823,Slow response time observed for pod api-server.,WARNING
2024-12-11 11:04:45.848826,Pod db-pod started successfully in namespace production.,INFO
2024-12-11 13:23:55.848828,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-14 04:16:29.848831,High memory usage detected in pod nginx-pod.,WARNING
2024-12-11 08:39:15.848834,Deployment deployment-10 scaled to default replicas.,INFO
2024-12-15 06:39:08.848837,Deployment deployment-2 failed to roll out successfully.,ERROR
2024-12-14 14:17:36.848840,DiskPressure condition detected on node node-2.,WARNING
2024-12-14 05:28:31.848843,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-15 12:46:15.848846,Slow response time observed for pod frontend-pod.,WARNING
2024-12-16 07:44:35.848849,Replica count for deployment deployment-6 dropped below threshold.,WARNING
2024-12-13 00:40:41.848852,Pod nginx-pod started successfully in namespace kube-system.,INFO
2024-12-11 18:47:30.848855,High memory usage detected in pod api-server.,WARNING
2024-12-16 10:58:55.848858,High memory usage detected in pod redis-pod.,WARNING
2024-12-11 18:07:04.848860,Deployment deployment-2 scaled to default replicas.,INFO
2024-12-11 16:38:29.848863,Deployment deployment-10 failed to roll out successfully.,ERROR
2024-12-11 23:03:38.848866,Pod db-pod started successfully in namespace kube-system.,INFO
2024-12-16 15:11:54.848868,Deployment deployment-2 scaled to production replicas.,INFO
2024-12-12 01:47:49.848870,Backup job completed successfully.,INFO
2024-12-15 21:35:19.848873,Replica count for deployment deployment-10 dropped below threshold.,WARNING
2024-12-17 10:07:26.848877,Deployment deployment-6 scaled to kube-system replicas.,INFO
2024-12-15 06:28:57.848879,High memory usage detected in pod db-pod.,WARNING
2024-12-15 04:36:00.848882,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-13 18:27:17.848884,Replica count for deployment deployment-6 dropped below threshold.,WARNING
2024-12-16 15:30:55.848887,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-14 12:00:46.848889,Deployment deployment-3 scaled to kube-system replicas.,INFO
2024-12-12 23:37:53.848892,Deployment deployment-4 failed to roll out successfully.,ERROR
2024-12-12 23:16:58.848894,Pod redis-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-14 06:08:03.848897,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-15 10:20:11.848899,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-14 19:30:13.848902,Replica count for deployment deployment-9 dropped below threshold.,WARNING
2024-12-14 13:07:02.848905,High memory usage detected in pod api-server.,WARNING
2024-12-11 13:32:40.848907,Replica count for deployment deployment-7 dropped below threshold.,WARNING
2024-12-17 11:34:22.848909,High memory usage detected in pod nginx-pod.,WARNING
2024-12-15 16:57:13.848912,High memory usage detected in pod redis-pod.,WARNING
2024-12-11 14:58:58.848914,Deployment deployment-8 failed to roll out successfully.,ERROR
2024-12-16 21:20:26.848917,Slow response time observed for pod redis-pod.,WARNING
2024-12-13 16:01:43.848919,Deployment deployment-2 scaled to monitoring replicas.,INFO
2024-12-11 05:13:43.848921,Backup job completed successfully.,INFO
2024-12-12 17:42:34.848924,Deployment deployment-8 scaled to monitoring replicas.,INFO
2024-12-15 18:02:55.848926,Backup job completed successfully.,INFO
2024-12-17 02:40:08.848927,Backup job completed successfully.,INFO
2024-12-11 22:34:05.848930,Deployment deployment-10 failed to roll out successfully.,ERROR
2024-12-13 05:40:19.848933,Node node-5 is ready for scheduling.,INFO
2024-12-14 23:04:06.848935,High memory usage detected in pod db-pod.,WARNING
2024-12-16 03:45:59.848938,Replica count for deployment deployment-4 dropped below threshold.,WARNING
2024-12-15 09:17:45.848940,High memory usage detected in pod db-pod.,WARNING
2024-12-12 07:05:27.848942,Backup job completed successfully.,INFO
2024-12-12 18:28:11.848944,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 07:16:19.848947,Deployment deployment-9 scaled to monitoring replicas.,INFO
2024-12-15 01:31:40.848949,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-16 09:09:56.848952,Slow response time observed for pod api-server.,WARNING
2024-12-11 18:56:16.848955,Node node-5 is ready for scheduling.,INFO
2024-12-15 04:56:06.848957,Node node-3 is NotReady for scheduling pods.,ERROR
2024-12-13 20:42:51.848960,High memory usage detected in pod nginx-pod.,WARNING
2024-12-13 10:48:25.848962,Replica count for deployment deployment-10 dropped below threshold.,WARNING
2024-12-11 03:37:07.848965,DiskPressure condition detected on node node-4.,WARNING
2024-12-14 13:34:13.848968,Deployment deployment-1 scaled to production replicas.,INFO
2024-12-15 02:54:13.848970,Slow response time observed for pod db-pod.,WARNING
2024-12-13 11:48:46.848972,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-17 15:55:02.848975,Node node-3 is ready for scheduling.,INFO
2024-12-10 17:33:12.848977,High memory usage detected in pod nginx-pod.,WARNING
2024-12-11 08:12:53.848979,Backup job completed successfully.,INFO
2024-12-14 00:48:41.848982,Deployment deployment-10 failed to roll out successfully.,ERROR
2024-12-13 21:27:55.848984,Deployment deployment-3 scaled to kube-system replicas.,INFO
2024-12-15 15:29:30.848988,Node node-2 is ready for scheduling.,INFO
2024-12-12 17:34:03.848991,Node node-2 is NotReady for scheduling pods.,ERROR
2024-12-15 12:38:41.848993,Pod frontend-pod started successfully in namespace production.,INFO
2024-12-13 23:41:42.848996,Replica count for deployment deployment-4 dropped below threshold.,WARNING
2024-12-13 18:57:03.848998,Backup job completed successfully.,INFO
2024-12-15 01:46:11.849000,Failed to mount volume for pod api-server.,ERROR
2024-12-13 17:12:30.849002,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-11 12:11:18.849005,Slow response time observed for pod nginx-pod.,WARNING
2024-12-11 23:31:11.849007,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-16 23:57:35.849010,DiskPressure condition detected on node node-1.,WARNING
2024-12-13 11:24:46.849013,Slow response time observed for pod frontend-pod.,WARNING
2024-12-11 17:56:38.849016,Failed to mount volume for pod redis-pod.,ERROR
2024-12-12 10:50:05.849018,DiskPressure condition detected on node node-5.,WARNING
2024-12-10 17:04:29.849021,Slow response time observed for pod nginx-pod.,WARNING
2024-12-16 16:05:48.849023,Deployment deployment-4 scaled to monitoring replicas.,INFO
2024-12-11 06:05:27.849026,Deployment deployment-2 scaled to production replicas.,INFO
2024-12-16 05:31:59.849028,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-11 04:05:24.849031,DiskPressure condition detected on node node-4.,WARNING
2024-12-12 00:46:50.849033,Pod frontend-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-12 12:57:14.849035,Pod db-pod started successfully in namespace monitoring.,INFO
2024-12-15 01:49:27.849038,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-14 15:20:51.849040,Replica count for deployment deployment-4 dropped below threshold.,WARNING
2024-12-15 05:25:07.849043,Replica count for deployment deployment-10 dropped below threshold.,WARNING
2024-12-13 16:04:59.849046,Node node-4 is ready for scheduling.,INFO
2024-12-15 00:56:17.849048,Deployment deployment-9 failed to roll out successfully.,ERROR
2024-12-11 10:50:31.849050,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-17 11:27:32.849053,Slow response time observed for pod nginx-pod.,WARNING
2024-12-11 15:29:30.849055,Slow response time observed for pod api-server.,WARNING
2024-12-13 02:33:25.849058,High memory usage detected in pod frontend-pod.,WARNING
2024-12-11 06:24:46.849060,Failed to mount volume for pod api-server.,ERROR
2024-12-16 23:38:44.849063,High memory usage detected in pod frontend-pod.,WARNING
2024-12-13 10:27:37.849065,Replica count for deployment deployment-2 dropped below threshold.,WARNING
2024-12-15 10:15:19.849068,Pod redis-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-10 21:39:15.849070,Node node-2 is ready for scheduling.,INFO
2024-12-13 01:45:49.849073,Replica count for deployment deployment-5 dropped below threshold.,WARNING
2024-12-15 03:55:19.849076,Node node-1 is NotReady for scheduling pods.,ERROR
2024-12-13 08:52:46.849079,Deployment deployment-4 scaled to kube-system replicas.,INFO
2024-12-12 00:33:13.849081,High memory usage detected in pod db-pod.,WARNING
2024-12-13 23:20:28.849083,Deployment deployment-9 failed to roll out successfully.,ERROR
2024-12-11 14:59:52.849086,Slow response time observed for pod frontend-pod.,WARNING
2024-12-13 16:48:35.849090,Node node-5 is NotReady for scheduling pods.,ERROR
2024-12-12 14:30:51.849093,Node node-1 is ready for scheduling.,INFO
2024-12-15 10:04:29.849097,Failed to mount volume for pod frontend-pod.,ERROR
2024-12-12 00:36:42.849100,Slow response time observed for pod redis-pod.,WARNING
2024-12-16 15:42:26.849102,Backup job completed successfully.,INFO
2024-12-12 15:46:53.849105,Replica count for deployment deployment-8 dropped below threshold.,WARNING
2024-12-13 10:56:13.849107,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-15 22:18:30.849110,Slow response time observed for pod db-pod.,WARNING
2024-12-15 08:29:49.849113,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-15 02:36:41.849116,Replica count for deployment deployment-2 dropped below threshold.,WARNING
2024-12-10 16:48:01.849118,Pod api-server started successfully in namespace default.,INFO
2024-12-16 17:57:55.849121,Node node-1 is ready for scheduling.,INFO
2024-12-11 14:00:06.849123,Slow response time observed for pod redis-pod.,WARNING
2024-12-12 22:00:41.849126,Pod redis-pod started successfully in namespace kube-system.,INFO
2024-12-14 06:14:27.849128,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-14 21:57:51.849131,Replica count for deployment deployment-8 dropped below threshold.,WARNING
2024-12-12 08:46:28.849133,Pod frontend-pod started successfully in namespace monitoring.,INFO
2024-12-16 23:37:28.849135,Backup job completed successfully.,INFO
2024-12-14 10:51:35.849137,Backup job completed successfully.,INFO
2024-12-14 19:57:29.849140,Node node-1 is NotReady for scheduling pods.,ERROR
2024-12-15 15:18:47.849142,Node node-3 is NotReady for scheduling pods.,ERROR
2024-12-15 04:23:09.849145,Deployment deployment-2 scaled to monitoring replicas.,INFO
2024-12-13 10:39:26.849147,Deployment deployment-9 failed to roll out successfully.,ERROR
2024-12-16 07:09:43.849150,DiskPressure condition detected on node node-1.,WARNING
2024-12-11 05:55:45.849153,Deployment deployment-1 scaled to monitoring replicas.,INFO
2024-12-17 06:42:16.849155,Replica count for deployment deployment-6 dropped below threshold.,WARNING
2024-12-15 18:04:26.849158,Slow response time observed for pod api-server.,WARNING
2024-12-11 21:37:03.849160,Replica count for deployment deployment-5 dropped below threshold.,WARNING
2024-12-15 18:26:56.849163,Node node-2 is NotReady for scheduling pods.,ERROR
2024-12-12 17:06:15.849166,Failed to mount volume for pod api-server.,ERROR
2024-12-14 05:16:26.849168,Node node-2 is ready for scheduling.,INFO
2024-12-12 16:46:09.849171,Node node-5 is ready for scheduling.,INFO
2024-12-17 00:36:26.849173,Node node-5 is ready for scheduling.,INFO
2024-12-11 17:39:57.849176,Deployment deployment-5 failed to roll out successfully.,ERROR
2024-12-16 22:34:25.849179,Deployment deployment-6 failed to roll out successfully.,ERROR
2024-12-15 06:15:10.849181,Slow response time observed for pod api-server.,WARNING
2024-12-16 09:46:18.849184,Deployment deployment-9 scaled to kube-system replicas.,INFO
2024-12-11 07:05:32.849186,Replica count for deployment deployment-5 dropped below threshold.,WARNING
2024-12-16 18:21:55.849189,High memory usage detected in pod redis-pod.,WARNING
2024-12-12 08:56:57.849191,Backup job completed successfully.,INFO
2024-12-13 09:31:51.849193,Slow response time observed for pod frontend-pod.,WARNING
2024-12-11 09:21:08.849195,Backup job completed successfully.,INFO
2024-12-17 08:06:38.849197,Node node-2 is NotReady for scheduling pods.,ERROR
2024-12-16 15:14:56.849200,Deployment deployment-8 scaled to kube-system replicas.,INFO
2024-12-17 13:20:39.849203,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-15 16:48:51.849206,Node node-1 is NotReady for scheduling pods.,ERROR
2024-12-12 10:16:52.849209,Failed to mount volume for pod api-server.,ERROR
2024-12-11 14:32:16.849211,Node node-3 is ready for scheduling.,INFO
2024-12-13 17:09:17.849214,Pod frontend-pod started successfully in namespace monitoring.,INFO
2024-12-16 22:44:13.849216,Slow response time observed for pod redis-pod.,WARNING
2024-12-15 06:30:35.849219,Node node-1 is NotReady for scheduling pods.,ERROR
2024-12-11 04:49:20.849221,Pod db-pod started successfully in namespace default.,INFO
2024-12-16 13:58:46.849224,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-13 23:16:30.849226,Pod frontend-pod started successfully in namespace default.,INFO
2024-12-14 04:52:07.849228,Backup job completed successfully.,INFO
2024-12-12 03:36:24.849231,DiskPressure condition detected on node node-4.,WARNING
2024-12-17 13:13:58.849234,Replica count for deployment deployment-4 dropped below threshold.,WARNING
2024-12-16 14:21:41.849236,DiskPressure condition detected on node node-4.,WARNING
2024-12-16 03:56:39.849239,DiskPressure condition detected on node node-2.,WARNING
2024-12-13 02:37:38.849242,Node node-1 is ready for scheduling.,INFO
2024-12-12 14:10:18.849244,Slow response time observed for pod nginx-pod.,WARNING
2024-12-13 18:55:00.849247,Deployment deployment-5 failed to roll out successfully.,ERROR
2024-12-17 15:16:28.849249,Deployment deployment-4 scaled to production replicas.,INFO
2024-12-15 05:18:16.849252,Replica count for deployment deployment-4 dropped below threshold.,WARNING
2024-12-15 17:43:16.849255,Deployment deployment-2 failed to roll out successfully.,ERROR
2024-12-15 12:37:38.849257,Deployment deployment-7 scaled to kube-system replicas.,INFO
2024-12-15 05:51:10.849260,Failed to mount volume for pod db-pod.,ERROR
2024-12-11 19:11:33.849263,Node node-3 is NotReady for scheduling pods.,ERROR
2024-12-15 10:56:17.849265,Replica count for deployment deployment-10 dropped below threshold.,WARNING
2024-12-15 22:43:40.849268,Replica count for deployment deployment-3 dropped below threshold.,WARNING
2024-12-10 22:25:50.849270,Pod db-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-12 19:57:48.849273,High memory usage detected in pod db-pod.,WARNING
2024-12-11 15:06:55.849276,Deployment deployment-1 scaled to default replicas.,INFO
2024-12-15 19:16:07.849278,Backup job completed successfully.,INFO
2024-12-13 01:37:01.849280,Node node-3 is ready for scheduling.,INFO
2024-12-12 15:00:48.849283,Node node-5 is NotReady for scheduling pods.,ERROR
2024-12-12 03:12:03.849286,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-14 21:49:58.849288,Node node-2 is ready for scheduling.,INFO
2024-12-13 10:18:55.849291,Failed to mount volume for pod db-pod.,ERROR
2024-12-17 08:12:01.849293,Deployment deployment-4 failed to roll out successfully.,ERROR
2024-12-12 19:39:15.849296,Slow response time observed for pod redis-pod.,WARNING
2024-12-15 13:03:37.849298,DiskPressure condition detected on node node-3.,WARNING
2024-12-11 12:59:42.849300,Backup job completed successfully.,INFO
2024-12-14 02:19:16.849303,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-11 09:21:03.849305,DiskPressure condition detected on node node-1.,WARNING
2024-12-15 01:25:06.849308,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-13 19:31:48.849310,Deployment deployment-1 failed to roll out successfully.,ERROR
2024-12-15 02:01:09.849314,High memory usage detected in pod frontend-pod.,WARNING
2024-12-12 02:23:25.849317,Replica count for deployment deployment-2 dropped below threshold.,WARNING
2024-12-15 16:27:28.849319,Deployment deployment-3 failed to roll out successfully.,ERROR
2024-12-14 22:13:22.849322,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-14 00:31:52.849325,Pod db-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-10 21:29:03.849327,High memory usage detected in pod api-server.,WARNING
2024-12-11 04:37:14.849329,Failed to mount volume for pod db-pod.,ERROR
2024-12-13 10:19:19.849332,Node node-3 is ready for scheduling.,INFO
2024-12-11 13:32:10.849335,Replica count for deployment deployment-7 dropped below threshold.,WARNING
2024-12-10 19:21:34.849338,DiskPressure condition detected on node node-3.,WARNING
2024-12-12 19:05:17.849340,Node node-2 is ready for scheduling.,INFO
2024-12-15 10:42:03.849343,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-12 13:09:13.849345,Node node-2 is NotReady for scheduling pods.,ERROR
2024-12-14 07:28:25.849347,Backup job completed successfully.,INFO
2024-12-16 09:10:48.849349,Slow response time observed for pod redis-pod.,WARNING
2024-12-17 05:18:24.849352,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-11 22:44:45.849355,Replica count for deployment deployment-3 dropped below threshold.,WARNING
2024-12-15 08:22:42.849357,Pod db-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 02:35:08.849360,Node node-5 is ready for scheduling.,INFO
2024-12-11 17:39:53.849363,Deployment deployment-5 failed to roll out successfully.,ERROR
2024-12-12 21:54:20.849365,Backup job completed successfully.,INFO
2024-12-17 00:10:22.849367,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-15 16:51:48.849370,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-12 07:15:25.849373,Deployment deployment-8 failed to roll out successfully.,ERROR
2024-12-14 21:11:42.849375,Pod redis-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-14 20:50:28.849378,DiskPressure condition detected on node node-2.,WARNING
2024-12-12 11:54:52.849380,Pod redis-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-11 16:46:05.849382,High memory usage detected in pod redis-pod.,WARNING
2024-12-13 15:15:33.849385,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-16 06:44:37.849388,Node node-1 is ready for scheduling.,INFO
2024-12-13 10:00:14.849390,Pod db-pod started successfully in namespace kube-system.,INFO
2024-12-11 13:44:52.849393,Replica count for deployment deployment-10 dropped below threshold.,WARNING
2024-12-13 04:43:06.849395,Pod api-server crashed due to out of memory (OOMKilled).,ERROR
2024-12-14 04:44:36.849398,Node node-3 is NotReady for scheduling pods.,ERROR
2024-12-14 14:22:30.849400,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-11 11:55:05.849403,DiskPressure condition detected on node node-2.,WARNING
2024-12-15 13:23:16.849405,Pod nginx-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-12 01:01:10.849408,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-12 23:55:17.849410,DiskPressure condition detected on node node-2.,WARNING
2024-12-13 06:17:16.849413,Deployment deployment-7 failed to roll out successfully.,ERROR
2024-12-12 10:49:28.849416,Node node-2 is ready for scheduling.,INFO
2024-12-12 22:59:48.849419,High memory usage detected in pod api-server.,WARNING
2024-12-11 20:25:16.849422,Slow response time observed for pod nginx-pod.,WARNING
2024-12-16 10:41:29.849424,Deployment deployment-6 scaled to default replicas.,INFO
2024-12-17 00:23:52.849427,Node node-2 is ready for scheduling.,INFO
2024-12-15 07:22:45.849429,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-12 02:13:37.849432,Node node-3 is ready for scheduling.,INFO
2024-12-15 08:42:12.849434,High memory usage detected in pod frontend-pod.,WARNING
2024-12-14 21:26:49.849437,Node node-4 is NotReady for scheduling pods.,ERROR
2024-12-10 17:39:42.849439,Deployment deployment-2 failed to roll out successfully.,ERROR
2024-12-14 19:51:27.849442,Pod db-pod started successfully in namespace monitoring.,INFO
2024-12-17 10:41:51.849444,Deployment deployment-10 failed to roll out successfully.,ERROR
2024-12-17 14:37:13.849447,Failed to mount volume for pod api-server.,ERROR
2024-12-16 16:22:12.849449,Pod db-pod crashed due to out of memory (OOMKilled).,ERROR
2024-12-12 05:14:52.849451,Backup job completed successfully.,INFO
2024-12-14 06:52:54.849453,Slow response time observed for pod nginx-pod.,WARNING
2024-12-15 18:17:08.849455,Backup job completed successfully.,INFO
2024-12-12 05:16:22.849458,Replica count for deployment deployment-6 dropped below threshold.,WARNING
2024-12-15 13:11:08.849460,Deployment deployment-6 scaled to monitoring replicas.,INFO
2024-12-16 03:58:28.849463,High memory usage detected in pod frontend-pod.,WARNING
2024-12-11 09:16:38.849465,Failed to mount volume for pod nginx-pod.,ERROR
2024-12-11 02:13:09.849467,Backup job completed successfully.,INFO
